# fecha: 2026-09-15 11:48:50
# rama: 3T_temporal
# tag: PH2
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C1', 'C3', 'C3C']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000, 'nkmax': 300, 'wclip': 30.0}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 32.1
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C1,1,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5013,0.475,0.4735,0.4844,0.5615,0.526,0.4901,0.4896,-0.0602,-0.051,-0.0167,-0.0053,0.45,0.5203,-0.0703,123,188,190,330,619,187,210,367,659,478,446,670,1226,174,-2942.0,0.73
C1,2,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5187,0.4479,0.5101,0.505,0.5255,0.4952,0.5182,0.5017,-0.0068,-0.0473,-0.0081,0.0033,0.5208,0.5026,0.0182,191,222,142,405,653,206,175,389,640,474,309,856,1300,165,-2808.0,1.496
C1,3,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4636,0.4966,0.5207,0.4912,0.5193,0.5179,0.5149,0.4945,-0.0557,-0.0213,0.0058,-0.0032,0.4605,0.5128,-0.0523,156,191,221,490,672,221,224,451,696,445,476,999,1338,178,-3202.0,1.494
C1,4,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5274,0.5043,0.51,0.4961,0.5408,0.5161,0.5157,0.506,-0.0134,-0.0118,-0.0058,-0.01,0.5854,0.5838,0.0016,197,202,235,384,630,181,231,369,640,451,495,804,1301,152,-2812.0,1.478
C1,5,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5137,0.4466,0.5013,0.4996,0.5072,0.5246,0.526,0.506,0.0065,-0.078,-0.0247,-0.0064,0.53,0.5305,-0.0005,213,262,138,380,619,248,171,378,620,525,341,839,1269,174,-2852.0,1.09
C1,6,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5275,0.4604,0.5022,0.4806,0.5386,0.5316,0.4964,0.482,-0.0111,-0.0712,0.0058,-0.0014,0.5959,0.5602,0.0356,332,240,157,568,644,215,184,563,696,529,387,1117,1247,162,-3365.0,1.49
C1,7,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4918,0.5237,0.5026,0.5099,0.5153,0.5438,0.5066,0.4971,-0.0235,-0.0201,-0.004,0.0128,0.561,0.5668,-0.0059,187,210,254,488,696,217,231,483,669,454,576,999,1347,178,-3152.0,1.458
C1,8,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4869,0.4441,0.4862,0.498,0.53,0.4992,0.5563,0.5073,-0.0431,-0.0551,-0.0701,-0.0093,0.5,0.5578,-0.0578,147,149,131,159,491,157,164,168,495,343,296,410,1013,134,-2022.0,0.716
C1,9,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5,0.5025,0.5047,0.4966,0.5394,0.5325,0.5161,0.4955,-0.0394,-0.03,-0.0113,0.0011,0.4868,0.522,-0.0352,159,202,198,372,721,202,196,365,731,471,451,786,1426,144,-2989.0,1.176
C1,10,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4862,0.5129,0.502,0.5056,0.5261,0.5265,0.5061,0.5014,-0.0398,-0.0136,-0.0041,0.0042,0.4857,0.5395,-0.0538,152,159,238,507,629,168,226,503,615,363,516,1035,1251,158,-3003.0,1.498
C1,11,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4953,0.5523,0.5065,0.5119,0.5395,0.5324,0.5195,0.506,-0.0441,0.0199,-0.013,0.0058,0.4756,0.471,0.0046,155,159,227,313,690,162,184,305,658,376,468,666,1383,133,-2538.0,1.482
C1,12,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5084,0.4726,0.4888,0.5153,0.53,0.5392,0.4878,0.5109,-0.0217,-0.0667,0.001,0.0045,0.5726,0.5761,-0.0034,276,243,155,350,673,235,173,366,633,537,386,680,1366,144,-2800.0,1.152
C1,13,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4611,0.4693,0.4648,0.4988,0.4927,0.5079,0.5222,0.5062,-0.0316,-0.0387,-0.0574,-0.0075,0.4839,0.4918,-0.0079,183,160,145,211,611,187,164,243,614,335,321,494,1256,161,-2497.0,1.494
C1,14,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4667,0.4724,0.4575,0.4934,0.5456,0.5307,0.5054,0.4915,-0.0789,-0.0583,-0.0479,0.002,0.5,0.5333,-0.0333,150,133,180,167,676,152,201,198,694,340,433,373,1324,169,-2579.0,1.466
